site,advertisers,trackers,unknown
https://www.edel-optics.de,0,5,1
https://www.invushop.com,2,0,0
https://www.transitions.com,11,9,3
https://www.ardellshop.com,8,5,2
https://www.persol.com,0,5,0
https://tartecosmetics.com,0,1,10
https://www.kits.ca,28,18,21
https://sunski.com,0,1,3
https://ca.zennioptical.com,0,5,10
https://www.urbandecay.com,0,1,3
https://www.eyeglassworld.com,2,1,0
https://www.elfcosmetics.com,32,29,22
https://www.target.com,0,2,0
https://www.sallyhansen.com,8,10,1
https://www.maccosmetics.ca,0,0,3
https://www.sofinaip-hadaid.com,0,10,7
https://www.americasbest.com,2,1,3
https://www.costadelmar.com,0,3,0
https://www.miumiu.com,0,4,0
https://www.madison-reed.com,3,16,2
https://www.oakley.com,0,10,1
https://www.ray-ban.com,2,5,2
https://www.lancome.ca,0,1,3
https://www.baume-et-mercier.com,1,0,3
https://www.narscosmetics.com,2,17,35
https://www.bebeautiful.in,3,9,0
https://janeiredale.com,1,4,14
https://www.glasses.com,0,7,0
https://beekman1802.com,0,0,5
https://www.bulgari.com,0,1,0
https://us.jins.com,0,0,2
https://www.gunnar.com,0,6,7
https://www.fittingbox.com,0,0,6
https://www.coffretdor-makeup.jp,0,3,0
https://www.nyxcosmetics.com,0,1,3
https://www.esteelauder.ca,0,0,1
https://www.benefitcosmetics.com,0,0,2
https://www.smartbuyglasses.com,0,0,10
https://www.vogue-eyewear.com,0,4,1
https://baileynelson.com,0,4,11
https://decortecosmetics.com,0,0,9
https://www.designerglasses.co.uk,0,0,3
https://thelipbar.com,0,0,8
https://www.oliverpeoples.com,0,5,0
https://www.prada.com,1,4,0
https://www.afflelou.com,0,0,2
https://www.maybelline.ca,1,4,15
https://eyerim.hr,0,1,3
