site_url,first_party_cookies,third_party_cookies
https://www.persol.com,38,5.0
https://www.baume-et-mercier.com,24,4.0
https://www.esteelauder.ca,19,1.0
https://www.urbandecay.com,22,4.0
,0,
https://www.elfcosmetics.com,83,83.0
,0,
https://www.bebeautiful.in,25,12.0
https://www.maybelline.ca,36,20.0
https://www.miumiu.com,19,4.0
https://www.americasbest.com,27,6.0
,0,
,0,
https://beekman1802.com,30,5.0
,0,
https://www.costadelmar.com,34,3.0
https://www.ray-ban.com,36,9.0
https://www.oakley.com,51,11.0
,0,
https://www.sofinaip-hadaid.com,23,17.0
https://www.nyxcosmetics.com,18,4.0
,0,
https://thelipbar.com,45,8.0
https://baileynelson.com,21,15.0
https://www.benefitcosmetics.com,12,2.0
https://www.glasses.com,26,7.0
https://decortecosmetics.com,46,9.0
https://www.gunnar.com,40,13.0
https://tartecosmetics.com,35,11.0
https://eyerim.hr,5,4.0
https://www.narscosmetics.com,77,54.0
,0,
https://www.designerglasses.co.uk,9,3.0
https://www.target.com,22,2.0
https://www.ardellshop.com,41,15.0
https://www.invushop.com,10,2.0
https://www.vogue-eyewear.com,55,5.0
https://janeiredale.com,56,19.0
https://www.bulgari.com,19,1.0
https://www.kits.ca,36,67.0
,0,
https://us.jins.com,47,2.0
,0,
,0,
https://www.smartbuyglasses.com,23,10.0
https://www.prada.com,38,5.0
https://www.afflelou.com,5,2.0
https://www.edel-optics.de,14,6.0
https://www.sallyhansen.com,23,19.0
https://www.fittingbox.com,11,6.0
https://www.coffretdor-makeup.jp,12,3.0
https://ca.zennioptical.com,43,15.0
https://www.maccosmetics.ca,23,3.0
https://www.transitions.com,34,23.0
https://www.oliverpeoples.com,51,5.0
https://www.eyeglassworld.com,25,3.0
https://www.lancome.ca,22,4.0
,0,
https://www.madison-reed.com,59,21.0
https://sunski.com,37,4.0
