third_party_cookie_host,number_of_occurences,>1m & <=1y,>1y & <=5y,>5y,y=9999
bing.com,6,0,3,0,0
adroll.com,6,0,6,0,0
doubleclick.net,4,0,2,0,0
ml314.com,1,0,1,0,0
bidr.io,3,0,2,0,0
gbqofs.io,3,0,0,1,1
bidswitch.net,6,0,6,0,0
micpn.com,2,0,2,0,0
salesforce-sites.com,4,0,4,0,0
fbot.me,1,0,0,1,0
stickyadstv.com,2,1,0,0,0
livechatinc.com,3,0,2,0,0
igodigital.com,15,0,0,5,0
360yield.com,4,4,0,0,0
google.com,3,2,1,0,0
salesforceliveagent.com,1,0,0,1,1
krxd.net,3,3,0,0,0
dognet.sk,1,0,1,0,0
official-deals.co.uk,1,0,1,0,0
scorecardresearch.com,1,0,1,0,0
kargo.com,1,0,1,0,0
liveperson.net,3,0,0,0,0
adsrvr.org,13,0,13,0,0
cquotient.com,6,0,6,0,0
criteo.com,6,0,6,0,0
shop.pe,1,0,1,0,0
exponea.com,1,0,1,0,0
twitter.com,5,0,5,0,0
smaato.net,2,0,0,0,0
hubspot.com,1,0,0,0,0
getrockerbox.com,1,1,0,0,0
dynamicyield.com,3,0,2,1,1
armani-beauty.ca,8,1,0,7,7
vimeo.com,2,0,0,0,0
creativecdn.com,4,0,4,0,0
yahoo.co.jp,6,1,5,0,0
media.net,7,5,2,0,0
mediawallahscript.com,3,0,2,0,0
3lift.com,4,4,0,0,0
lightboxapi.azurewebsites.net,2,0,0,0,0
afterpay.com,1,0,0,0,0
rlcdn.com,4,2,2,0,0
elfsight.com,2,0,0,0,0
omnitagjs.com,1,1,0,0,0
liadm.com,5,1,4,0,0
crwdcntrl.net,7,5,0,2,2
cdn-btsg.com,1,0,1,0,0
govx.com,2,0,0,2,2
pinterest.com,3,0,3,0,0
rapidzebra.io,1,0,1,0,0
thepointyspritesclub.com,1,1,0,0,0
smartadserver.com,4,0,4,0,0
ipredictive.com,2,1,1,0,0
everesttech.net,14,10,2,2,2
zopim.com,2,0,0,0,0
clicktale.net,1,1,0,0,0
bounceexchange.com,4,0,0,0,0
youtube.com,10,4,0,4,4
yieldmo.com,2,0,2,0,0
pubmatic.com,10,8,1,0,0
tiktok.com,12,0,12,0,0
sharethis.com,2,0,2,0,0
mountain.com,3,0,3,0,0
id5-sync.com,1,1,0,0,0
personalizer.io,4,0,4,0,0
iesnare.com,1,0,1,0,0
pointmediatracker.com,1,0,1,0,0
paypal.com,10,0,5,3,3
yotpo.com,4,0,4,0,0
amazon-adsystem.com,4,2,0,2,0
mookie1.com,4,0,3,0,0
pippio.com,5,3,2,0,0
dynatrace.com,3,0,0,3,3
amazon.com,5,0,5,0,0
taboola.com,3,0,3,0,0
scarabresearch.com,2,0,1,1,1
serving-sys.com,2,1,0,1,1
ninthdecimal.com,1,1,0,0,0
outbrain.com,1,1,0,0,0
sharethrough.com,2,2,0,0,0
myvisualiq.net,3,0,3,0,0
connectedinteractive.com,2,0,1,0,0
linkedin.com,14,7,5,0,0
demdex.net,42,42,0,0,0
futemarketing.ca,2,0,0,1,0
adnxs.com,13,13,0,0,0
yahoo.com,10,0,10,0,0
linksynergy.com,4,0,4,0,0
ispot.tv,1,0,1,0,0
dnacdn.net,4,0,4,0,0
snapchat.com,8,0,8,0,0
zeotap.com,2,0,1,0,0
bluekai.com,10,10,0,0,0
mediavine.com,5,0,0,0,0
exelator.com,2,2,0,0,0
undertone.com,2,0,2,0,0
shoprunner.com,3,0,0,1,0
fonts.net,2,0,0,0,0
tapad.com,21,21,0,0,0
im-apps.net,4,0,4,0,0
force.com,2,0,2,0,0
semasio.net,1,0,1,0,0
tremorhub.com,3,1,2,0,0
shop.app,6,0,0,6,6
openx.net,2,0,2,0,0
official-coupons.com,1,0,1,0,0
dotomi.com,1,0,1,0,0
t.co,1,0,1,0,0
rezync.com,2,0,2,0,0
pickzen.com,2,0,0,0,0
rubiconproject.com,8,0,8,0,0
cdnwidget.com,8,0,2,0,0
trkn.us,1,0,1,0,0
sc-static.net,2,0,0,0,0
casalemedia.com,10,6,4,0,0
tealiumiq.com,4,0,4,0,0
rfihub.com,3,0,2,1,1
omtrdc.net,2,0,1,0,0
socdm.com,1,0,1,0,0
attentivemobile.com,32,0,32,0,0
smind.hr,2,0,0,2,2
samba.tv,1,0,1,0,0
spotxchange.com,3,0,0,0,0
eyeota.net,2,0,1,0,0
agkn.com,3,0,3,0,0
adform.net,2,1,0,0,0
nr-data.net,1,0,0,1,1
